公司,年月,TCRI,總分,規模,獲利,安全,效率,CFO,CFO不一致,利息支出率,資產報酬%,營業利益%,借款息%,平均收款天增減,平均售貨天增減,借款依存度%,營收,TSE產業別
1310 台苯,2010/12/31,6,492.0,101.0,-9.0,78.0,85.0,-1.38,,0.35,-4.39,-1.27,2.21,0.0,-4.0,56.0,196.0,3
1314 中石化,2010/12/31,5,951.0,140.0,94.0,98.0,93.0,56.29,,0.58,14.59,12.64,1.93,1.0,-2.0,29.0,405.0,3
1316 上曜,2010/12/31,7,220.0,5.0,-8.0,91.0,-40.0,-2.16,,0.13,-2.5,-6.4,0.89,6.0,87.0,20.0,6.0,21
1321 大洋,2010/12/31,6,400.0,45.0,-3.0,80.0,79.0,-2.18,,0.14,-1.31,-1.43,1.22,-5.0,0.0,32.0,61.0,3
1323 永裕,2010/12/31,6,543.0,21.0,73.0,77.0,53.0,3.3,,1.01,8.84,11.01,2.53,-6.0,-4.0,83.0,26.0,3
1326 台化,2010/12/31,2,892.0,140.0,77.0,100.0,80.0,683.82,,0.56,11.54,10.93,1.65,3.0,-14.0,37.0,3837.0,3
1413 宏洲,2010/12/31,7,449.0,30.0,31.0,76.0,66.0,3.59,,0.32,4.51,3.29,2.58,-1.0,-2.0,30.0,43.0,4
1414 東和,2010/12/31,6,419.0,20.0,54.0,66.0,21.0,2.35,,1.11,4.44,11.39,1.09,28.0,113.0,48.0,14.0,4
1432 大魯閣,2010/12/31,8,678.0,17.0,120.0,71.0,71.0,12.04,,0.64,40.07,33.98,1.81,-35.0,-200.0,68.0,25.0,18
1442 名軒,2010/12/31,6,303.0,22.0,86.0,13.0,-40.0,-17.95,+,3.11,7.86,29.58,1.81,2.0,926.0,145.0,15.0,14
1447 力鵬,2010/12/31,5,682.0,115.0,37.0,89.0,75.0,10.71,,0.28,5.45,3.9,1.6,9.0,-5.0,38.0,241.0,4
1449 佳和,2010/12/31,D,-364.0,45.0,-33.0,-130.0,35.0,-0.06,,2.43,-3.98,-7.01,3.19,-2.0,-10.0,375.0,45.0,4
1451 年興,2010/12/31,4,674.0,91.0,47.0,100.0,50.0,19.77,,0.17,8.6,4.54,1.72,0.0,-15.0,7.0,129.0,4
1452 宏益,2010/12/31,5,547.0,16.0,44.0,100.0,83.0,1.43,,0.01,6.69,6.93,0.0,-4.0,-5.0,0.0,22.0,4
1453 大將,2010/12/31,7,224.0,4.0,14.0,71.0,-40.0,0.1,,1.46,2.4,4.06,2.13,7.0,-94.0,51.0,5.0,4
1456 怡華,2010/12/31,D,-445.0,19.0,-34.0,-140.0,42.0,-1.38,,2.46,-3.89,-6.4,3.24,-1.0,-36.0,394.0,22.0,4
1457 宜進,2010/12/31,7,471.0,46.0,19.0,81.0,77.0,2.89,,0.96,3.62,2.6,2.3,-1.0,-15.0,50.0,50.0,4
1472 三洋紡,2010/12/31,9,194.0,10.0,-5.0,39.0,72.0,0.24,,1.09,-1.56,0.68,2.32,-6.0,-49.0,123.0,15.0,4
1475 本盟,2010/12/31,9,-389.0,9.0,-48.0,-107.0,59.0,0.0,,2.99,-5.74,-6.69,3.89,-60.0,-29.0,340.0,12.0,4
1477 聚陽,2010/12/31,3,769.0,74.0,93.0,91.0,67.0,11.34,,0.22,16.15,9.44,5.38,3.0,10.0,13.0,141.0,4
1503 士電,2010/12/31,4,627.0,121.0,32.0,86.0,32.0,11.6,,0.12,3.56,6.72,0.75,9.0,-27.0,18.0,185.0,5
1506 正道,2010/12/31,8,176.0,15.0,-8.0,64.0,-21.0,-0.27,,2.65,-2.39,-1.45,5.01,-8.0,-56.0,47.0,15.0,5
1507 永大,2010/12/31,4,702.0,96.0,67.0,100.0,10.0,17.45,,0.04,7.92,12.27,2.09,-10.0,-17.0,2.0,134.0,5
1513 中興電,2010/12/31,5,561.0,81.0,36.0,96.0,2.0,5.83,,0.2,4.34,5.95,1.07,-7.0,-15.0,21.0,103.0,5
1515 力山,2010/12/31,6,443.0,34.0,31.0,74.0,60.0,1.41,,1.25,3.31,6.38,2.52,-4.0,-16.0,70.0,34.0,5
1516 川飛,2010/12/31,9,348.0,0.0,-17.0,100.0,99.0,0.74,,0.2,-7.17,-57.87,0.0,-9.0,1.0,0.0,1.0,20
1521 大億,2010/12/31,4,666.0,28.0,86.0,94.0,68.0,5.02,,0.07,13.45,9.02,1.45,-2.0,-13.0,13.0,39.0,5
1525 江申,2010/12/31,6,571.0,12.0,62.0,100.0,61.0,2.27,,0.0,12.2,4.77,0.0,0.0,-20.0,0.0,12.0,5
1529 樂士,2010/12/31,9,19.0,3.0,-60.0,78.0,-40.0,-1.74,,4.99,-44.28,-114.95,3.75,213.0,-373.0,32.0,2.0,5
1532 勤美,2010/12/31,7,568.0,126.0,58.0,61.0,-40.0,-4.91,+,1.25,5.19,12.87,1.78,6.0,39.0,81.0,165.0,5
1535 中宇,2010/12/31,4,713.0,49.0,74.0,100.0,92.0,11.63,,0.0,11.94,6.07,0.9,-6.0,-22.0,0.0,75.0,5
1538 正峰新,2010/12/31,7,300.0,14.0,-3.0,67.0,80.0,0.93,,1.48,0.93,-6.4,2.35,-101.0,-24.0,53.0,12.0,5
1539 巨庭,2010/12/31,7,201.0,9.0,-6.0,62.0,16.0,0.3,,0.78,-3.26,2.12,1.83,-39.0,-58.0,87.0,13.0,5
1558 伸興,2010/12/31,4,793.0,30.0,120.0,100.0,73.0,7.36,,0.01,22.15,17.51,0.91,-15.0,1.0,8.0,45.0,5
1560 中砂,2010/12/31,5,508.0,34.0,43.0,88.0,48.0,7.38,,0.15,5.03,8.15,0.74,-11.0,-6.0,18.0,33.0,5
1583 程泰,2010/12/31,6,450.0,52.0,57.0,72.0,-40.0,2.43,,0.53,5.71,11.32,1.31,-65.0,-205.0,73.0,52.0,5
1611 中電,2010/12/31,5,626.0,61.0,48.0,100.0,61.0,0.34,,0.32,6.44,7.73,2.29,-19.0,-22.0,21.0,64.0,6
1612 宏泰,2010/12/31,4,552.0,50.0,29.0,100.0,64.0,4.94,,0.02,4.86,4.34,1.26,3.0,-6.0,1.0,59.0,6
1614 三洋電,2010/12/31,4,580.0,60.0,33.0,100.0,62.0,2.62,,0.02,4.81,5.29,1.85,-1.0,0.0,6.0,71.0,6
1618 合機,2010/12/31,6,449.0,48.0,3.0,97.0,55.0,3.04,,0.15,1.86,1.51,2.16,1.0,-13.0,1.0,37.0,6
1701 中化,2010/12/31,6,452.0,49.0,40.0,81.0,-11.0,3.76,,0.31,5.01,6.59,1.03,-8.0,2.0,33.0,46.0,22
1707 葡萄王,2010/12/31,5,720.0,26.0,114.0,99.0,27.0,6.84,,0.18,17.63,20.3,3.43,-2.0,13.0,4.0,33.0,22
1718 中纖,2010/12/31,7,686.0,140.0,21.0,85.0,88.0,48.93,,0.44,0.36,6.97,0.74,-10.0,-3.0,50.0,276.0,21
1721 三晃,2010/12/31,8,263.0,13.0,-2.0,66.0,46.0,-0.04,,0.91,-0.2,-0.82,2.42,-8.0,-31.0,87.0,19.0,21
1723 中碳,2010/12/31,3,875.0,61.0,120.0,100.0,94.0,19.99,,0.02,29.63,25.83,1.79,-2.0,-4.0,4.0,84.0,21
1724 台硝,2010/12/31,5,456.0,15.0,24.0,98.0,61.0,1.66,,0.12,1.74,9.67,1.18,-16.0,-34.0,13.0,20.0,21
1726 永記,2010/12/31,3,611.0,60.0,58.0,100.0,17.0,2.15,+,0.05,7.66,10.7,2.01,1.0,-19.0,2.0,72.0,21
1732 毛寶,2010/12/31,5,400.0,4.0,20.0,100.0,31.0,0.28,,0.0,3.63,3.29,0.0,-8.0,-1.0,0.0,7.0,21
1733 五鼎,2010/12/31,4,697.0,13.0,120.0,100.0,12.0,4.66,,0.01,24.31,34.05,0.0,5.0,-21.0,0.0,18.0,22
1762 中化生,2010/12/31,6,546.0,12.0,74.0,92.0,23.0,2.76,,0.84,7.43,18.09,2.1,-26.0,-32.0,15.0,12.0,22
1786 科妍,2010/12/31,7,184.0,1.0,-13.0,74.0,1.0,0.07,,2.33,-2.71,-20.81,3.31,11.0,-47.0,33.0,1.0,22
1805 寶徠,2010/12/31,8,170.0,4.0,-35.0,57.0,96.0,-2.33,,1.08,-11.02,-31.69,3.51,-9.0,-13.0,85.0,4.0,14
1902 台紙,2010/12/31,5,627.0,65.0,57.0,97.0,34.0,9.34,,0.4,7.34,9.13,1.5,-3.0,-17.0,21.0,65.0,9
1903 士紙,2010/12/31,6,378.0,34.0,-9.0,86.0,80.0,-1.96,,0.3,-2.32,-7.55,0.73,0.0,-203.0,23.0,22.0,9
1904 正隆,2010/12/31,4,661.0,140.0,43.0,68.0,48.0,27.31,,1.38,5.11,6.69,3.18,-9.0,-12.0,79.0,387.0,9
1905 華紙,2010/12/31,4,724.0,79.0,69.0,100.0,60.0,14.84,,0.41,8.3,14.18,2.27,2.0,-22.0,13.0,93.0,9
1907 永豐餘,2010/12/31,4,598.0,140.0,17.0,67.0,66.0,13.3,,1.07,2.89,2.27,2.02,-11.0,-17.0,90.0,514.0,9
2002 中鋼,2010/12/31,2,743.0,140.0,76.0,62.0,49.0,464.29,+,0.65,8.46,14.88,1.26,-7.0,-20.0,67.0,3502.0,10
2008 高興昌,2010/12/31,9,-286.0,63.0,-44.0,-123.0,89.0,-3.15,,3.08,-6.9,-3.95,3.41,1.0,-14.0,354.0,69.0,10
2013 中鋼構,2010/12/31,5,558.0,83.0,26.0,86.0,56.0,2.52,,0.06,3.71,1.7,2.22,-17.0,-34.0,11.0,137.0,10
2020 美亞,2010/12/31,7,538.0,71.0,28.0,85.0,58.0,5.98,,0.69,4.37,3.44,2.33,-8.0,-92.0,47.0,99.0,10
2025 千興,2010/12/31,7,424.0,32.0,7.0,83.0,88.0,3.73,,0.26,2.97,-4.01,1.91,1.0,-5.0,24.0,44.0,10
2027 大成鋼,2010/12/31,7,467.0,140.0,37.0,39.0,-40.0,-30.11,+,1.66,4.17,7.41,3.51,-11.0,-101.0,130.0,330.0,10
2028 威致,2010/12/31,8,275.0,57.0,-3.0,32.0,74.0,0.71,,1.2,-0.92,1.57,2.75,5.0,-20.0,132.0,72.0,10
2034 允強,2010/12/31,4,607.0,103.0,32.0,84.0,54.0,-9.4,+,0.13,5.41,2.36,1.02,-8.0,-17.0,58.0,218.0,10
2049 上銀,2010/12/31,4,730.0,80.0,114.0,71.0,16.0,26.52,,0.68,14.55,22.5,1.47,-27.0,-62.0,72.0,95.0,5
2059 川湖,2010/12/31,4,716.0,32.0,103.0,100.0,44.0,9.14,,1.41,13.98,36.4,2.88,-12.0,-20.0,35.0,26.0,28
2062 橋椿,2010/12/31,4,711.0,41.0,87.0,100.0,68.0,8.42,,0.0,13.62,15.24,0.0,-21.0,-17.0,0.0,50.0,20
2103 台橡,2010/12/31,4,944.0,140.0,104.0,92.0,77.0,34.73,+,0.45,17.52,13.49,2.92,-17.0,-14.0,37.0,367.0,11
2104 國際中橡,2010/12/31,4,642.0,129.0,17.0,91.0,61.0,17.39,,1.28,1.83,6.74,2.76,-13.0,-36.0,54.0,211.0,11
2105 正新,2010/12/31,3,809.0,140.0,86.0,66.0,75.0,142.34,,0.73,11.1,11.83,1.78,-2.0,-11.0,98.0,1000.0,11
2204 中華,2010/12/31,4,756.0,140.0,30.0,100.0,87.0,41.65,,0.38,5.4,2.89,3.21,0.0,-7.0,10.0,413.0,12
2206 三陽工業,2010/12/31,6,594.0,140.0,16.0,68.0,61.0,0.06,+,1.0,3.09,1.8,2.53,-3.0,-1.0,84.0,318.0,12
2301 光寶科,2010/12/31,3,774.0,140.0,50.0,92.0,69.0,141.61,,0.21,6.28,6.07,2.1,-7.0,-2.0,27.0,2300.0,25
2308 台達電,2010/12/31,1,899.0,140.0,84.0,100.0,68.0,220.07,,0.13,12.3,10.74,1.03,-11.0,-2.0,22.0,1713.0,28
2314 台揚,2010/12/31,5,441.0,65.0,-4.0,94.0,42.0,-5.3,,0.25,-1.67,-1.56,1.27,-30.0,-4.0,39.0,81.0,27
2316 楠梓電,2010/12/31,5,523.0,69.0,19.0,92.0,54.0,2.49,,0.3,3.66,-0.09,1.31,-44.0,-8.0,42.0,77.0,28
2323 中環,2010/12/31,6,483.0,140.0,-21.0,70.0,56.0,40.72,,2.08,-7.56,-14.57,2.88,0.0,-18.0,48.0,244.0,26
2324 仁寶,2010/12/31,2,766.0,140.0,44.0,92.0,76.0,227.54,+,0.04,5.78,2.78,1.04,5.0,-5.0,32.0,8870.0,25
2330 台積電,2010/12/31,1,1020.0,140.0,120.0,100.0,80.0,2292.78,,0.1,24.75,38.2,1.17,1.0,3.0,8.0,4195.0,24
2331 精英,2010/12/31,5,644.0,140.0,-1.0,94.0,84.0,-3.8,,0.09,-0.36,-0.72,1.35,-2.0,0.0,19.0,679.0,25
2332 友訊,2010/12/31,4,729.0,140.0,34.0,99.0,51.0,10.92,,0.12,4.78,4.02,2.03,-8.0,-23.0,13.0,339.0,27
2337 旺宏,2010/12/31,4,922.0,140.0,99.0,100.0,44.0,109.3,,0.06,14.09,29.14,0.72,4.0,-3.0,16.0,280.0,24
2338 光罩,2010/12/31,4,557.0,33.0,47.0,100.0,52.0,9.11,,0.4,4.51,13.01,1.53,-6.0,2.0,13.0,26.0,24
2340 光磊,2010/12/31,5,613.0,74.0,51.0,95.0,30.0,15.05,,0.71,6.07,8.32,1.77,-15.0,-31.0,40.0,80.0,26
2344 華邦電,2010/12/31,6,708.0,140.0,46.0,74.0,66.0,116.52,,1.62,4.93,9.54,2.81,-5.0,2.0,52.0,399.0,24
2348 海悅,2010/12/31,D,-897.0,2.0,-60.0,-273.0,100.0,-0.33,,3.79,-21.8,-31.6,3.27,-80.0,0.0,1827.0,4.0,20
2353 宏碁,2010/12/31,3,755.0,140.0,41.0,92.0,75.0,132.38,+,0.16,4.86,3.85,4.75,-8.0,-2.0,29.0,6291.0,25
2358 廷鑫,2010/12/31,7,415.0,5.0,18.0,100.0,52.0,-0.29,,0.01,1.77,7.55,1.94,24.0,0.0,1.0,9.0,20
2371 大同,2010/12/31,6,426.0,140.0,-24.0,50.0,68.0,134.32,,1.72,-5.64,-8.74,2.71,-23.0,-11.0,117.0,1579.0,5
2376 技嘉,2010/12/31,4,754.0,140.0,34.0,100.0,73.0,6.6,+,0.01,6.05,2.33,2.09,0.0,-6.0,1.0,558.0,25
2383 台光電,2010/12/31,5,721.0,86.0,82.0,87.0,41.0,15.91,,0.43,11.67,8.6,1.94,-15.0,1.0,57.0,135.0,28
2388 威盛,2010/12/31,7,274.0,67.0,-60.0,100.0,20.0,-8.29,,0.83,-24.58,-49.67,3.24,-10.0,-1.0,6.0,57.0,24
2390 云辰,2010/12/31,7,239.0,17.0,-13.0,95.0,-40.0,-1.53,,0.68,-4.52,-8.63,2.3,-11.0,79.0,19.0,12.0,31
2392 正崴,2010/12/31,4,636.0,140.0,25.0,76.0,51.0,6.52,+,0.38,3.57,2.99,1.72,-4.0,-9.0,73.0,570.0,28
2408 南亞科,2010/12/31,7,26.0,140.0,-53.0,-55.0,69.0,38.48,,2.7,-10.56,-15.37,1.84,-4.0,2.0,264.0,571.0,24
2409 友達,2010/12/31,4,596.0,140.0,4.0,75.0,79.0,907.36,,1.1,0.86,2.65,2.82,6.0,3.0,65.0,4672.0,26
2412 中華電,2010/12/31,1,935.0,140.0,87.0,100.0,94.0,847.37,,0.05,10.88,28.35,2.83,3.0,-1.0,1.0,2024.0,27
2419 仲琦,2010/12/31,6,568.0,51.0,54.0,86.0,45.0,-1.61,+,0.26,7.33,5.81,2.13,-22.0,-10.0,54.0,70.0,27
2429 銘旺科,2010/12/31,9,73.0,5.0,-60.0,62.0,57.0,-1.45,,0.72,-17.2,-17.54,2.51,22.0,-5.0,91.0,6.0,28
2438 翔耀,2010/12/31,D,-120.0,2.0,-7.0,-30.0,-13.0,-2.45,,14.09,0.86,-89.77,3.19,-86.0,-21.0,164.0,2.0,26
2439 美律,2010/12/31,4,659.0,61.0,63.0,100.0,50.0,3.11,,0.18,8.09,10.07,1.6,-10.0,1.0,15.0,81.0,27
2444 兆勁,2010/12/31,7,250.0,16.0,-16.0,73.0,48.0,-0.7,,0.58,-5.62,-6.4,2.16,-9.0,-2.0,63.0,23.0,27
2448 晶電,2010/12/31,3,800.0,134.0,84.0,100.0,-19.0,61.31,,0.62,9.66,29.94,1.7,-1.0,-3.0,20.0,209.0,26
2450 神腦,2010/12/31,4,835.0,91.0,88.0,100.0,89.0,13.51,,0.0,16.66,6.64,0.0,,,0.0,195.0,27
2451 創見,2010/12/31,4,806.0,135.0,50.0,100.0,85.0,31.78,,0.03,7.81,7.01,2.15,5.0,-16.0,2.0,322.0,24
2461 光群雷,2010/12/31,6,428.0,32.0,19.0,95.0,20.0,2.87,,0.72,3.26,3.6,2.7,-9.0,-7.0,27.0,33.0,31
2472 立隆電,2010/12/31,6,507.0,47.0,38.0,88.0,36.0,3.55,,0.43,4.28,7.18,1.56,-20.0,-21.0,55.0,54.0,28
2474 可成,2010/12/31,3,763.0,135.0,80.0,85.0,-3.0,45.97,,0.94,7.82,24.42,1.11,-23.0,-30.0,60.0,218.0,31
2475 華映,2010/12/31,8,441.0,140.0,-35.0,60.0,87.0,97.95,,1.86,-9.78,-16.92,3.19,-34.0,-12.0,90.0,817.0,26
2484 希華,2010/12/31,6,396.0,28.0,13.0,93.0,22.0,2.47,,1.21,1.41,5.74,3.61,-27.0,-20.0,28.0,26.0,28
2485 兆赫,2010/12/31,3,753.0,70.0,85.0,100.0,60.0,12.01,,0.07,11.35,16.61,2.57,-11.0,4.0,4.0,93.0,27
2486 一詮,2010/12/31,5,627.0,58.0,60.0,100.0,30.0,9.04,,0.69,7.28,11.29,2.26,-28.0,3.0,58.0,60.0,26
2491 吉祥全,2010/12/31,D,95.0,14.0,-16.0,52.0,-40.0,-5.87,,7.11,-4.19,-52.55,3.2,9.0,87.0,63.0,10.0,26
2498 宏達電,2010/12/31,2,996.0,140.0,120.0,99.0,60.0,464.8,,0.0,25.25,16.8,5.96,-13.0,4.0,0.0,2788.0,27
2504 國產,2010/12/31,4,720.0,138.0,33.0,95.0,60.0,45.45,,0.61,3.97,6.38,1.81,-24.0,-8.0,30.0,235.0,14
2506 太設,2010/12/31,D,470.0,85.0,51.0,19.0,90.0,2.97,,3.5,6.21,4.46,3.3,-2.0,53.0,144.0,81.0,14
2509 全坤建,2010/12/31,5,523.0,31.0,74.0,67.0,41.0,5.34,,2.04,5.8,20.84,1.94,-2.0,-142.0,64.0,20.0,14
2511 太子,2010/12/31,6,559.0,122.0,73.0,8.0,72.0,9.85,+,3.19,5.52,16.42,2.23,0.0,34.0,168.0,147.0,14
2515 中工,2010/12/31,6,507.0,125.0,8.0,91.0,-40.0,-4.43,+,0.39,1.82,2.18,0.98,-7.0,-41.0,33.0,163.0,14
2527 宏璟,2010/12/31,7,31.0,6.0,6.0,14.0,-40.0,-12.51,+,9.87,2.78,-6.97,1.62,5.0,8232.0,72.0,5.0,14
2528 皇普,2010/12/31,9,-35.0,0.0,-11.0,13.0,-40.0,-0.55,,132.49,-2.4,-227.6,2.89,544.0,90475.0,50.0,0.0,14
2534 宏盛,2010/12/31,6,364.0,40.0,67.0,41.0,-40.0,-18.18,+,3.19,4.88,38.36,0.91,0.0,436.0,82.0,25.0,14
2536 宏普,2010/12/31,4,473.0,56.0,76.0,58.0,-40.0,-13.71,+,0.46,7.08,25.84,0.6,13.0,205.0,52.0,37.0,14
2540 愛山林,2010/12/31,D,-216.0,1.0,-34.0,-69.0,91.0,-0.03,,18.95,-5.98,-120.05,1.77,91.0,-156.0,246.0,0.0,14
2547 日勝生,2010/12/31,6,758.0,120.0,108.0,41.0,73.0,-13.85,+,2.59,11.8,27.77,3.0,-25.0,-575.0,98.0,140.0,14
2606 裕民,2010/12/31,4,901.0,111.0,103.0,98.0,47.0,79.26,,1.65,13.56,44.1,1.34,3.0,0.0,55.0,113.0,15
2610 華航,2010/12/31,6,488.0,140.0,72.0,-20.0,46.0,246.25,,1.9,6.07,10.84,2.17,-7.0,0.0,232.0,1477.0,15
2611 志信,2010/12/31,9,219.0,24.0,1.0,56.0,-40.0,6.13,,3.53,2.05,-4.23,2.99,-2.0,-88.0,73.0,16.0,15
2612 中航,2010/12/31,5,702.0,60.0,83.0,91.0,48.0,12.51,,3.24,8.2,33.19,2.09,1.0,0.0,65.0,42.0,15
2613 中櫃,2010/12/31,7,421.0,33.0,16.0,86.0,38.0,2.57,,1.16,1.88,4.84,1.98,-3.0,0.0,62.0,26.0,15
2616 山隆,2010/12/31,5,572.0,69.0,32.0,92.0,46.0,10.09,,0.03,5.43,1.47,1.88,-1.0,0.0,7.0,154.0,23
2633 台灣高鐵,2010/12/31,9,-542.0,140.0,37.0,-306.0,48.0,73.23,+,32.32,1.48,32.83,2.34,0.0,0.0,1632.0,276.0,15
2636 台驊投控,2010/12/31,6,539.0,35.0,55.0,86.0,29.0,1.63,,0.01,8.58,3.44,0.41,8.0,-1.0,57.0,60.0,15
2642 宅配通,2010/12/31,-,640.0,14.0,89.0,100.0,36.0,1.45,,0.01,12.24,11.55,5.51,,,0.0,24.0,15
2705 六福,2010/12/31,7,313.0,42.0,18.0,57.0,-40.0,2.04,,2.18,1.93,5.8,2.47,-1.0,60.0,60.0,27.0,16
2727 王品,2010/12/31,4,710.0,37.0,120.0,88.0,-40.0,8.01,,0.0,24.01,13.33,0.0,0.0,11.0,0.0,58.0,16
2841 台開,2010/12/31,9,-95.0,5.0,2.0,-23.0,-40.0,8.41,,11.76,1.53,-28.27,0.64,-442.0,0.0,148.0,4.0,14
2905 三商,2010/12/31,5,537.0,140.0,-47.0,100.0,99.0,532.66,,0.04,-2.37,0.12,0.62,-5.0,-11.0,51.0,1175.0,18
2915 潤泰全,2010/12/31,6,617.0,85.0,49.0,84.0,48.0,12.8,,0.87,9.97,0.61,0.92,0.0,-18.0,50.0,69.0,18
3004 豐達科,2010/12/31,D,175.0,8.0,81.0,-45.0,51.0,1.07,,3.21,7.25,10.08,2.49,-4.0,-48.0,252.0,9.0,10
3008 大立光,2010/12/31,3,903.0,96.0,120.0,100.0,51.0,43.02,,0.0,23.35,37.75,0.0,-4.0,-7.0,1.0,124.0,26
3015 全漢,2010/12/31,4,725.0,99.0,57.0,100.0,56.0,9.83,,0.02,7.46,6.49,4.93,-13.0,-4.0,1.0,190.0,28
3018 同開,2010/12/31,7,450.0,5.0,36.0,100.0,33.0,-0.31,,0.22,5.4,3.88,4.09,-49.0,-29.0,19.0,9.0,31
3026 禾伸堂,2010/12/31,4,652.0,96.0,39.0,100.0,43.0,0.08,+,0.16,5.1,6.57,0.95,-4.0,1.0,24.0,149.0,28
3027 盛達,2010/12/31,6,369.0,14.0,-4.0,100.0,54.0,-1.41,,0.19,-1.68,-2.18,1.33,-10.0,-5.0,20.0,18.0,27
3036 文曄,2010/12/31,4,731.0,140.0,54.0,77.0,60.0,1.73,+,0.1,7.73,2.72,1.3,-12.0,-11.0,69.0,637.0,29
3037 欣興,2010/12/31,3,840.0,140.0,73.0,91.0,69.0,121.89,,0.51,8.34,13.37,1.37,-16.0,-4.0,50.0,650.0,28
3041 揚智,2010/12/31,4,762.0,47.0,93.0,100.0,90.0,8.55,,0.01,13.56,17.65,0.0,6.0,1.0,0.0,42.0,24
3045 台灣大,2010/12/31,1,975.0,140.0,119.0,82.0,93.0,259.94,,0.47,18.03,26.13,2.68,-1.0,3.0,28.0,701.0,27
3049 和鑫,2010/12/31,6,498.0,70.0,3.0,100.0,51.0,8.38,,1.37,-1.87,3.61,2.35,12.0,-2.0,42.0,61.0,26
3052 夆典,2010/12/31,6,472.0,36.0,45.0,64.0,74.0,13.99,,1.81,3.01,10.78,1.86,5.0,68.0,71.0,26.0,14
3054 立萬利,2010/12/31,6,386.0,6.0,-6.0,100.0,91.0,0.78,,0.02,-2.81,-3.26,1.06,2.0,5.0,0.0,10.0,24
3058 立德,2010/12/31,6,539.0,57.0,39.0,82.0,63.0,2.6,,0.07,5.5,2.74,1.12,-10.0,-3.0,49.0,88.0,28
3090 日電貿,2010/12/31,5,582.0,24.0,68.0,100.0,31.0,1.57,,0.03,10.1,9.15,1.9,-35.0,1.0,0.0,33.0,28
3130 一零四,2010/12/31,5,710.0,15.0,96.0,100.0,94.0,4.34,,0.0,15.88,12.94,0.0,-3.0,0.0,0.0,23.0,30
3149 正達,2010/12/31,5,608.0,34.0,98.0,94.0,-35.0,-0.27,+,0.56,11.26,20.67,1.11,7.0,10.0,51.0,28.0,26
3167 大量,2010/12/31,5,648.0,17.0,105.0,100.0,0.0,2.24,,0.28,14.49,15.67,1.64,-94.0,-195.0,45.0,24.0,5
3321 同泰,2010/12/31,9,-911.0,11.0,-60.0,-256.0,15.0,-4.01,,4.24,-12.7,-12.81,3.51,-24.0,-9.0,520.0,12.0,28
3406 玉晶光,2010/12/31,5,548.0,47.0,72.0,74.0,14.0,5.05,,1.06,7.88,15.29,3.32,-38.0,-39.0,58.0,46.0,26
3494 誠研,2010/12/31,6,467.0,13.0,48.0,97.0,8.0,0.68,,0.26,5.44,10.06,1.82,-2.0,-19.0,19.0,19.0,25
3528 安馳,2010/12/31,6,571.0,23.0,85.0,74.0,50.0,-2.16,+,0.3,13.36,6.15,2.18,-9.0,-8.0,73.0,37.0,29
3532 台勝科,2010/12/31,5,572.0,94.0,8.0,100.0,61.0,26.34,,0.28,1.84,3.41,1.35,2.0,-19.0,10.0,96.0,24
3591 艾笛森,2010/12/31,5,681.0,30.0,99.0,100.0,24.0,3.16,,0.02,13.62,21.67,1.85,2.0,-1.0,0.0,30.0,26
3593 力銘,2010/12/31,5,517.0,31.0,34.0,100.0,54.0,0.5,,0.0,4.0,6.22,0.0,13.0,1.0,0.0,43.0,28
3605 宏致,2010/12/31,5,718.0,44.0,94.0,100.0,47.0,9.02,,0.23,10.95,21.38,1.46,1.0,6.0,36.0,44.0,28
3673 TPK-KY,2010/12/31,4,926.0,140.0,110.0,81.0,74.0,59.41,,0.15,18.22,11.49,1.54,24.0,-10.0,49.0,596.0,26
3682 亞太電,2010/12/31,4,920.0,131.0,89.0,99.0,93.0,55.75,,0.38,13.52,14.16,2.63,-4.0,0.0,13.0,232.0,27
3701 大眾控,2010/12/31,9,142.0,110.0,-29.0,-19.0,67.0,-6.67,,1.21,-4.83,-7.08,2.71,-27.0,-17.0,229.0,196.0,25
3702 大聯大,2010/12/31,4,701.0,140.0,47.0,75.0,54.0,23.17,+,0.14,6.74,2.35,1.68,18.0,5.0,79.0,2572.0,29
4119 旭富,2010/12/31,5,557.0,8.0,94.0,86.0,4.0,2.19,,0.05,12.45,21.3,0.35,-11.0,5.0,15.0,10.0,22
4141 龍燈-KY,2010/12/31,-,531.0,46.0,91.0,69.0,-40.0,0.29,+,2.49,10.85,14.87,6.7,45.0,-38.0,77.0,49.0,22
4414 如興,2010/12/31,D,-449.0,19.0,3.0,-152.0,-39.0,0.37,,1.7,1.58,1.78,2.39,-15.0,-24.0,437.0,26.0,4
4532 瑞智,2010/12/31,5,580.0,86.0,40.0,77.0,57.0,4.72,,0.92,5.58,4.39,3.24,-22.0,-45.0,62.0,126.0,5
4746 台耀,2010/12/31,6,572.0,18.0,82.0,85.0,35.0,1.0,,0.15,12.25,12.33,1.11,,,44.0,25.0,22
4906 正文,2010/12/31,5,520.0,115.0,4.0,76.0,49.0,-4.74,+,0.41,1.64,0.88,2.14,-4.0,5.0,67.0,216.0,27
4919 新唐,2010/12/31,-,785.0,51.0,105.0,100.0,67.0,8.35,,0.0,18.46,11.95,0.0,-3.0,-1.0,0.0,79.0,24
4934 太極,2010/12/31,6,673.0,47.0,83.0,85.0,77.0,6.91,,1.14,9.86,14.32,2.69,2.0,-56.0,51.0,46.0,26
